month,new_torveny,new_rendelet,expired_torveny,expired_rendelet
2010-06,71,156,5,83
2010-07,74,192,10,103
2010-08,107,117,4,52
2010-09,84,147,8,65
2010-10,25,120,2,66
2010-11,64,101,8,47
2010-12,165,261,16,87
2011-01,438,1097,20,229
2011-02,8,131,3,74
2011-03,89,350,4,70
2011-04,72,205,5,78
2011-05,46,201,10,64
2011-06,93,148,5,57
2011-07,214,414,11,110
2011-08,87,226,0,77
2011-09,78,235,1,79
2011-10,49,196,2,69
2011-11,62,136,1,64
2011-12,216,367,5,114
2012-01,614,1133,109,274
2012-02,38,276,2,70
2012-03,134,360,3,88
2012-04,166,348,18,115
2012-05,98,194,9,66
2012-06,186,215,435,87
2012-07,343,545,17,132
2012-08,66,290,3,104
2012-09,114,366,17,102
2012-10,84,245,8,82
2012-11,72,195,7,63
2012-12,210,441,8,115
2013-01,409,1120,36,277
2013-02,47,348,3,79
2013-03,68,337,5,94
2013-04,176,258,14,81
2013-05,88,267,5,104
2013-06,181,362,14,91
2013-07,418,661,27,163
2013-08,159,433,3,119
2013-09,84,265,9,102
2013-10,132,388,8,170
2013-11,118,320,6,78
2013-12,214,440,7,101
2014-01,416,1003,28,233
2014-02,78,306,1,89
2014-03,318,764,19,151
2014-04,16,406,1,93
2014-05,105,183,6,66
2014-06,58,112,2,59
2014-07,212,249,18,93
2014-08,22,121,2,57
2014-09,49,808,3,464
2014-10,72,202,6,72
2014-11,81,215,6,68
2014-12,132,372,11,91
2015-01,327,693,22,201
2015-02,53,245,6,76
2015-03,71,395,9,84
2015-04,143,869,9,116
2015-05,53,166,8,62
2015-06,101,275,7,70
2015-07,312,525,34,151
2015-08,59,175,4,63
2015-09,93,335,7,100
2015-10,49,238,9,88
2015-11,72,305,11,97
2015-12,157,403,13,120
2016-01,371,908,23,219
2016-02,10,143,1,63
2016-03,38,222,3,81
2016-04,47,215,13,78
2016-05,74,174,8,74
2016-06,139,255,9,84
2016-07,302,522,87,146
2016-08,20,225,0,71
2016-09,75,522,11,107
2016-10,71,227,17,83
2016-11,88,175,6,58
2016-12,161,406,11,94
2017-01,442,1714,29,367
2017-02,13,175,0,52
2017-03,54,205,8,72
2017-04,43,472,4,97
2017-05,74,124,2,67
2017-06,258,251,11,81
2017-07,177,390,17,101
2017-08,34,369,2,76
2017-09,75,264,9,82
2017-10,46,206,3,68
2017-11,117,257,9,73
2017-12,122,370,93,121
2018-01,541,1521,47,420
2018-02,14,201,2,88
2018-03,13,183,3,72
2018-04,16,154,1,67
2018-05,53,106,1,47
2018-06,13,181,0,72
2018-07,320,393,4,136
2018-08,88,140,4,74
2018-09,25,169,1,66
2018-10,37,227,5,80
2018-11,33,143,1,53
2018-12,149,328,12,94
2019-01,341,586,24,160
2019-02,69,125,2,52
2019-03,86,247,8,86
2019-04,190,351,5,96
2019-05,23,195,3,68
2019-06,39,273,2,81
2019-07,224,337,10,90
2019-08,50,271,5,94
2019-09,42,229,3,62
2019-10,13,279,1,87
2019-11,16,202,1,58
2019-12,119,365,6,111
2020-01,389,706,26,164
2020-02,67,311,4,142
2020-03,105,491,6,86
2020-04,93,314,5,69
2020-05,42,345,1,83
2020-06,94,425,21,205
2020-07,321,504,15,106
2020-08,65,246,6,76
2020-09,67,341,4,116
2020-10,34,274,1,72
2020-11,49,330,2,95
2020-12,142,633,8,135
2021-01,436,941,36,224
2021-02,53,470,3,97
2021-03,88,453,3,121
2021-04,23,319,0,86
2021-05,149,483,4,143
2021-06,195,396,14,116
2021-07,255,658,18,145
2021-08,72,367,3,99
2021-09,66,377,6,93
2021-10,55,354,3,109
2021-11,50,291,5,111
2021-12,201,654,1,189
2022-01,344,916,19,220
2022-02,36,288,2,102
2022-03,67,316,0,97
2022-04,27,326,1,83
2022-05,169,225,4,91
2022-06,91,276,5,199
2022-07,157,588,4,99
2022-08,114,342,3,86
2022-09,42,313,3,89
2022-10,53,269,4,83
2022-11,144,404,8,81
2022-12,159,854,5,143
2023-01,399,2068,20,419
2023-02,45,236,3,77
2023-03,50,310,2,84
2023-04,20,277,5,88
2023-05,77,316,3,100
2023-06,155,289,11,93
2023-07,324,614,15,176
2023-08,70,473,3,113
2023-09,125,412,2,126
2023-10,30,216,1,82
2023-11,68,264,2,88
2023-12,164,926,6,398
2024-01,401,1100,93,392
2024-02,57,196,1,73
2024-03,81,357,5,105
2024-04,70,206,6,77
2024-05,151,241,3,78
2024-06,86,274,0,72
2024-07,226,565,11,153
2024-08,27,330,1,95
2024-09,139,287,2,85
2024-10,113,671,5,109
2024-11,113,282,4,93
2024-12,132,493,3,111
2025-01,545,1054,42,296
2025-02,63,208,1,79
2025-03,163,347,3,87
2025-04,61,332,1,84
2025-05,82,262,4,79
2025-06,249,299,12,104
2025-07,256,515,11,151
2025-08,77,424,4,154
2025-09,79,241,3,106
2025-10,78,251,1,66
2025-11,77,225,1,72
2025-12,210,442,11,95
2026-01,422,961,29,290
2026-02,58,218,3,72
2026-03,58,292,7,88
2026-04,10,178,1,55
